"id","comm_mem","cityid","month"
"1","63906146",55,379,124
"2","64600800",112,55558,114
"3","64797262",96,1782,110
"4","69255974",158,6144,104
"5","69258718",184,379,104
"6","69374400",96,1862,104
"7","69410040",55,385,103
"8","69433580",167,69795,103
"9","69496788",911,388,102
"10","69512442",911,5742,102
"11","69513120",911,388,102
"12","69569548",184,56161,101
"13","69572502",218,10345,101
"14","69594418",55,383,101
"15","69611228",111,5143,100
"16","69627004",55,383,100
"17","69913298",55,69360,97
"18","69933278",168,390,96
"19","69942180",218,379,96
"20","70037062",184,1982,95
"21","70050682",55,383,95
"22","70057404",55,31353,95
"23","70112444",178,379,94
"24","70135828",112,398,94
"25","70160964",112,1982,94
"26","70204546",158,70175,94
"27","70205380",111,3742,94
"28","70223392",168,386,93
"29","70245468",55,2743,93
"30","70296798",69,14346,93
"31","70375176",168,379,93
"32","70379212",168,14344,93
"33","70436946",55,391,92
"34","70489640",112,19948,92
"35","70531434",55,12548,91
"36","70586164",122,10946,90
"37","70597828",55,16351,90
"38","70610762",55,17144,90
"39","70763482",168,379,89
"40","70777278",55,379,89
"41","70800122",911,52759,89
"42","70801446",178,10949,89
"43","70869488",55,391,89
"44","70880126",111,40759,89
"45","70918324",911,3342,88
"46","70952704",55,2144,88
"47","71039224",112,31353,87
"48","71053842",168,2105,87
"49","71059328",218,4742,87
"50","71061986",135,2023,87
"51","71064382",112,387,87
"52","71126688",111,40759,86
"53","71167092",55,391,86
"54","71176050",112,60760,86
"55","71177120",158,6144,86
"56","71261926",167,379,85
"57","71265238",158,70175,85
"58","71273338",167,2063,85
"59","71318690",168,379,84
"60","71354304",112,387,84
"61","71372770",55,391,84
"62","71414258",69,56163,83
"63","71428114",96,1782,83
"64","71476106",112,31353,83
"65","71479560",168,379,83
"66","71590586",55,2023,82
"67","71606458",168,1682,82
"68","71607426",184,56161,82
"69","71692260",158,28151,81
"70","71713106",55,5343,81
"71","71734270",142,382,81
"72","71741514",168,379,81
"73","71779224",130,384,80
"74","71814320",218,1842,80
"75","71824378",55,384,80
"76","71830278",184,56161,80
"77","71857870",171,28154,80
"78","71951886",100,2742,79
"79","71955052",55,2144,79
"80","71956748",158,6144,79
"81","71976942",178,16747,79
"82","71980618",100,2742,79
"83","71985514",55,3143,79
"84","71988106",69,33156,79
"85","72011048",122,1922,79
"86","72023702",55,380,79
"87","72037738",168,395,79
"88","72044320",130,2142,78
"89","72053494",55,3143,78
"90","72072378",158,6144,78
"91","72369458",55,55159,78
"92","72464050",55,391,77
"93","72563320",112,55558,77
"94","72564448",167,2063,77
"95","72565272",130,9952,77
"96","72581582",158,6144,77
"97","72601440",911,388,77
"98","72735764",122,1742,76
"99","72814886",171,394,75
"100","72849652",55,14342,75
"101","72862976",55,16549,75
"102","72884448",158,6144,75
"103","72926688",122,1922,75
"104","72954906",171,5345,75
"105","73021660",100,2742,74
"106","73966114",55,50958,73
"107","74292538",112,19142,73
"108","74895322",55,67959,73
"109","75124936",142,379,73
"110","75213540",55,14342,73
"111","75255402",142,13745,72
"112","75262056",55,13142,72
"113","75279506",111,8544,72
"114","75399634",911,9951,72
"115","75408966",112,387,72
"116","75409992",158,31752,72
"117","75431312",55,8543,72
"118","75451962",168,379,72
"119","75469150",55,25553,72
"120","75488638",55,2144,71
"121","75493862",135,10945,71
"122","75498296",171,394,71
"123","75501534",55,2144,71
"124","75502466",55,399,71
"125","75539504",112,55558,71
"126","75540644",17,380,71
"127","75556360",167,393,71
"128","75571634",130,69363,71
"129","75580972",135,2105,71
"130","75610068",55,385,71
"131","75640168",167,2063,71
"132","75668418",178,13142,71
"133","75705106",168,379,70
"134","75705962",167,69795,70
"135","75712440",69,122764,70
"136","75722242",55,385,70
"137","75724582",55,380,70
"138","75737282",55,3942,70
"139","75755324",168,379,70
"140","75800424",171,5345,70
"141","75840494",55,2144,70
"142","75844742",168,379,70
"143","75854082",130,384,70
"144","75887886",168,379,70
"145","75932854",168,8344,70
"146","75952706",55,13542,69
"147","75964476",218,5344,69
"148","75965800",55,3942,69
"149","75977086",171,38362,69
"150","75994122",55,385,69
"151","76045430",112,56158,69
"152","76048910",911,6742,69
"153","76053412",55,60960,69
"154","76065440",158,8144,69
"155","76075150",911,3342,69
"156","76075230",69,381,69
"157","76077102",96,379,69
"158","76112272",122,11344,69
"159","76143032",158,8144,69
"160","76163078",55,11543,69
"161","76168854",112,28553,68
"162","76170092",96,4542,68
"163","76185088",911,388,68
"164","76189160",168,379,68
"165","76191172",171,394,68
"166","76217506",168,379,68
"167","76262622",184,11146,68
"168","76301792",55,50958,68
"169","76311898",168,379,68
"170","76313670",135,14757,68
"171","76338948",112,16946,68
"172","76360808",112,51761,68
"173","76368400",55,16351,68
"174","76381320",911,6742,68
"175","76384146",168,8743,68
"176","76392392",135,5145,68
"177","76399394",218,2083,68
"178","76404994",218,2083,68
"179","76424586",112,387,68
"180","76435946",122,1922,68
"181","76438200",55,382,68
"182","76438372",168,379,68
"183","76449640",55,380,68
"184","76463600",55,24751,68
"185","76499792",142,382,67
"186","76506044",55,2743,67
"187","76507182",142,382,67
"188","76519060",911,388,67
"189","76533796",69,381,67
"190","76553934",167,393,67
"191","76565060",135,115964,67
"192","76565236",911,5542,67
"193","76586766",100,2742,67
"194","76599702",96,396,67
"195","76616186",135,14757,67
"196","76661930",911,388,67
"197","76690258",55,391,67
"198","76720390",55,14342,67
"199","76755436",158,51764,66
"200","76758602",96,4542,66
"201","76768252",122,1922,66
"202","76780596",142,382,66
"203","76793580",112,60760,66
"204","76801622",184,56161,66
"205","76827304",55,69364,66
"206","76833440",168,379,66
"207","76836818",122,69829,66
"208","76868202",171,15942,66
"209","76953702",171,5345,66
"210","76959974",168,379,66
"211","76966084",55,2144,66
"212","76974700",112,387,66
"213","76978352",122,10946,66
"214","77000502",135,61358,66
"215","77015474",911,388,65
"216","77020428",55,391,65
"217","77036836",184,21346,65
"218","77061248",55,16745,65
"219","77061566",178,386,65
"220","77070198",55,2144,65
"221","77078586",55,25553,65
"222","77084108",55,53958,65
"223","77112558",218,29956,65
"224","77157918",171,394,65
"225","77195608",112,398,65
"226","77210732",911,388,65
"227","77243534",100,2742,65
"228","77278804",218,2083,65
"229","77301524",168,379,64
"230","77302486",112,379,64
"231","77316912",218,4742,64
"232","77342754",130,38358,64
"233","77345064",135,69796,64
"234","77358354",168,379,64
"235","77388042",55,14342,64
"236","77404694",55,379,64
"237","77414244",130,384,64
"238","77418256",112,56158,64
"239","77420494",47,12546,64
"240","77437182",69,17344,64
"241","77469364",179,7742,64
"242","77473282",168,379,64
"243","77533468",171,394,64
"244","77557472",122,1922,64
"245","77600002",911,52759,63
"246","77603972",135,56359,63
"247","77649096",911,388,63
"248","77661244",55,15546,63
"249","77662420",178,18542,63
"250","77676108",168,379,63
"251","77707900",112,390,63
"252","77715076",168,379,63
"253","77716244",55,383,63
"254","77735038",55,2023,63
"255","77744630",55,2144,63
"256","77784708",911,388,63
"257","77809660",168,379,63
"258","77818930",112,9542,63
"259","77822182",218,28751,63
"260","77832300",167,2063,63
"261","77837380",130,384,63
"262","77839048",100,47556,63
"263","77842342",196,389,63
"264","77855740",112,387,63
"265","77860298",55,67959,62
"266","77923114",142,382,62
"267","77924626",186,379,62
"268","77930220",168,379,62
"269","77932370",55,70371,62
"270","77945030",55,2144,62
"271","77973100",168,379,62
"272","77979342",179,5942,62
"273","77986398",168,379,62
"274","77993376",55,379,62
"275","78000080",55,391,62
"276","78010398",171,394,62
"277","78012458",218,50561,62
"278","78017408",122,1922,62
"279","78019796",69,381,62
"280","78037776",218,22744,62
"281","78040942",167,2063,62
"282","78043970",168,379,62
"283","78075444",55,6743,62
